"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 21 23:16:13 MSK 2021","Sun Mar 21 23:16:25 MSK 2021","11489","module_5","test_product_page","TestUserAddToBasketFromProductPage","","","test_user_cant_see_success_message",""
"passed","Sun Mar 21 23:13:38 MSK 2021","Sun Mar 21 23:13:44 MSK 2021","5290","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer0]",""
"skipped","Sun Mar 21 23:15:20 MSK 2021","Sun Mar 21 23:15:24 MSK 2021","3509","module_5","test_product_page","TestProductPage","","","test_guest_cant_see_success_message_after_adding_product_to_basket",""
"passed","Sun Mar 21 23:14:37 MSK 2021","Sun Mar 21 23:14:43 MSK 2021","5777","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer6]",""
"passed","Sun Mar 21 23:16:38 MSK 2021","Sun Mar 21 23:16:42 MSK 2021","4037","module_5","test_product_page","TestUserAddToBasketFromProductPage","","","test_user_can_add_product_to_basket",""
"skipped","Sun Mar 21 23:14:48 MSK 2021","Sun Mar 21 23:14:54 MSK 2021","6029","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer7]",""
"passed","Sun Mar 21 23:14:08 MSK 2021","Sun Mar 21 23:14:14 MSK 2021","5738","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer3]",""
"passed","Sun Mar 21 23:14:18 MSK 2021","Sun Mar 21 23:14:22 MSK 2021","3880","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer4]",""
"passed","Sun Mar 21 23:13:05 MSK 2021","Sun Mar 21 23:13:08 MSK 2021","3218","module_5","test_main_page","TestMainPage","","","test_guest_can_go_to_login_page",""
"passed","Sun Mar 21 23:15:01 MSK 2021","Sun Mar 21 23:15:05 MSK 2021","4083","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer8]",""
"passed","Sun Mar 21 23:14:27 MSK 2021","Sun Mar 21 23:14:32 MSK 2021","4338","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer5]",""
"passed","Sun Mar 21 23:13:49 MSK 2021","Sun Mar 21 23:13:53 MSK 2021","3697","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer1]",""
"passed","Sun Mar 21 23:13:20 MSK 2021","Sun Mar 21 23:13:34 MSK 2021","14114","module_5","test_main_page","TestMainPage","","","test_guest_cant_see_product_in_basket_opened_from_main_page",""
"passed","Sun Mar 21 23:15:28 MSK 2021","Sun Mar 21 23:15:41 MSK 2021","12992","module_5","test_product_page","TestProductPage","","","test_guest_cant_see_success_message",""
"passed","Sun Mar 21 23:15:10 MSK 2021","Sun Mar 21 23:15:14 MSK 2021","4674","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer9]",""
"passed","Sun Mar 21 23:13:13 MSK 2021","Sun Mar 21 23:13:15 MSK 2021","2701","module_5","test_main_page","TestMainPage","","","test_guest_should_see_login_link",""
"passed","Sun Mar 21 23:13:59 MSK 2021","Sun Mar 21 23:14:03 MSK 2021","4150","module_5","test_product_page","TestProductPage","","","test_guest_can_add_product_to_basket[offer2]",""
"passed","Sun Mar 21 23:15:45 MSK 2021","Sun Mar 21 23:15:59 MSK 2021","14038","module_5","test_product_page","TestProductPage","","","test_guest_cant_see_product_in_basket_opened_from_product_page",""
